Exporter Details,Country of Origin,Vessel Name,Voyage No,Port of Loading (POL),Port of Discharge (POD),Final Destination (Country),Product Code,Description of Goods,HS Code,Unit Quantity,Unit Type,Price (per unit),Currency
EXP-12138,Japan,Horizon Express,VY-6243,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-45307,"Fresh, chilled or frozen backs, necks, backs with necks attached, rumps and wing-tips of domestic guinea fowls",2076041,389,PCS,417.91,JPY
EXP-48065,United States,Pacific Challenger,VY-3699,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-36433,"Extra virgin olive oil ""EU cat. 1"" obtained from the fruit of the olive tree solely by mechanical or other physical means under conditions that do not lead to deterioration of the oil, untreated",15092000,429,LITRE,477.46,USD
EXP-31915,Italy,Maritime Legend,VY-9823,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-54279,Dried sweet peppers (excl. crushed or ground),9042110,437,TON,260.48,EUR
EXP-65969,Italy,Pacific Challenger,VY-5389,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-56788,Manioc starch,11081400,89,M3,337.26,EUR
EXP-37351,Japan,Pacific Challenger,VY-1986,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-55038,"Mussels ""Mytilus spp."", live, fresh or chilled, with or without shell",3073110,137,M3,480.07,JPY
EXP-73852,Japan,Neptune Carrier,VY-3699,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-89377,"Frozen domestic geese, not cut in pieces",20752,89,LITRE,178.25,JPY
EXP-14554,Turkey,Ocean Explorer,VY-4832,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-16542,Fresh or chilled shark fins,3029200,223,LITRE,379.0,TRY
EXP-48811,United States,Neptune Carrier,VY-7083,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-80260,"Live shrimps ""Crangon crangon""",3063550,228,KG,306.01,USD
EXP-15516,Turkey,Atlantic Voyager,VY-4961,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-18287,"Fresh fruits of genus Vaccinium (excl. of species Vaccinium vitis-idaea, myrtillus, macrocarpum and corymbosum)",8104090,127,LITRE,484.8,TRY
EXP-44645,Italy,Horizon Express,VY-6434,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-93225,"Prepared or preserved shoulders and cuts thereof, of swine",160242,370,TON,338.75,EUR
EXP-66797,Italy,Horizon Express,VY-5857,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-84336,"Single citrus fruit juice, unfermented, Brix value > 20 but <= 67 at 20°C, value of <= 30 € per 100 kg (excl. containing added sugar, containing spirit, mixtures, lemon, orange and grapefruit juice)",20093999,98,LITRE,329.13,EUR
EXP-92292,China,Horizon Express,VY-5214,"Main Port, China","Casa Port, Morocco",Morocco,PROD-62566,"Fresh or chilled southern hake ""Merluccius australis""",3025415,269,PCS,160.98,CNY
EXP-14806,Canada,Sea Pioneer,VY-7374,"Main Port, Canada","Casa Port, Morocco",Morocco,PROD-64168,"Fresh or chilled with bone in, domestic swine shoulders and cuts thereof",2031219,88,LITRE,240.61,CAD
EXP-72483,India,Blue Horizon,VY-1944,"Main Port, India","Casa Port, Morocco",Morocco,PROD-88198,"Orange juice, unfermented, Brix value > 20 but <= 67 at 20°C, value of <= 30 € per 100 kg, containing > 30% added sugar (excl. containing spirit and frozen)",8134010,275,PCS,368.52,INR
EXP-73341,France,Global Trader,VY-1054,"Main Port, France","Casa Port, Morocco",Morocco,PROD-50818,"Milk and cream, concentrated, of a fat content by weight of > 8% but <= 10%, unsweetened (excl. in solid forms)",4029130,418,KG,136.36,EUR
EXP-82969,United Kingdom,Pacific Challenger,VY-1267,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-84132,"Chocolates and chocolate products, unfilled (excl. in blocks, slabs or bars, chocolates)",18069039,223,PCS,412.76,GBP
EXP-14572,Russia,Horizon Express,VY-7485,"Main Port, Russia","Casa Port, Morocco",Morocco,PROD-75663,"Fresh or chilled legs and cuts thereof of fowls of the species Gallus domesticus, with bone in",2071360,66,PCS,287.45,RUB
EXP-46745,Italy,Horizon Express,VY-7280,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-73306,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excl. cold-water shrimps and prawns)",30617,36,TON,461.46,EUR
EXP-19564,China,Ocean Explorer,VY-4804,"Main Port, China","Casa Port, Morocco",Morocco,PROD-98685,"Citrus fruits, prepared or preserved, containing added sugar but no added spirit, in immediate packings of a net content of <= 1 kg (excl. grapefruit segments, mandarins, incl. tangerines and satsumas, clementines, wilkings and similar citrus hybrids)",20083079,73,KG,289.58,CNY
EXP-11149,China,Blue Horizon,VY-6642,"Main Port, China","Casa Port, Morocco",Morocco,PROD-41956,"Juice of guavas, mangoes, mangosteens, papaws ""papayas"", tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola or pitahaya, unfermented, Brix value <= 67 at 20°C, value of > € 30 per 100 kg net weight, containing added sugar (excl. mixtures or containing spirit)",20098973,251,PCS,15.51,CNY
EXP-18931,Germany,Global Trader,VY-5900,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-83611,"Frozen crawfish tails ""Palinurus spp., Panulirus spp., Jasus spp."", even smoked, whether in shell or not, incl. crawfish tails in their shell, cooked by steaming or by boiling in water",20071099,460,TON,475.78,EUR
EXP-18025,Germany,Global Trader,VY-4245,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-27800,"Frozen fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt and shark fins)",3039900,52,LITRE,334.95,EUR
EXP-69897,France,Sea Pioneer,VY-9281,"Main Port, France","Casa Port, Morocco",Morocco,PROD-83660,"Citrus fruit jams, jellies, marmalades, purées or pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter (excl. homogenised preparations of subheading 200710)",200791,410,LITRE,279.31,EUR
EXP-47600,Germany,Neptune Carrier,VY-6565,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-11026,"Conifer and evergreen outdoor trees, shrubs and bushes, incl. their roots (excl. with bare roots, cuttings, slips, young plants and fruit, nut and forest trees)",6029047,159,LITRE,123.27,EUR
EXP-11012,Turkey,Maritime Legend,VY-2823,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-70428,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen (excl. preserved by sugar, and tomatoes, mushrooms and truffles)",15131110,95,KG,61.49,TRY
EXP-77881,Germany,Sea Pioneer,VY-4995,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-18833,"Sweet biscuits, whether or not containing cocoa, containing >= 8% milkfats (excl. coated or covered with chocolate or cocoa preparations)",19053130,13,LITRE,162.18,EUR
EXP-97092,Japan,Neptune Carrier,VY-6157,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-48618,"Orange juice, unfermented, Brix value > 67 at 20°C, value of <= 30 € per 100 kg, whether or not containing added sugar or other sweetening matter (excl. containing spirit and frozen)",20091911,379,LITRE,189.96,JPY
EXP-81080,Belgium,Global Trader,VY-4622,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-20715,"Jams, fruit jellies, marmalades, fruit purée and pastes of guavas, mangoes, mangosteens, papaws ""papayas"", jackfruits, passion fruit, tamarinds, cashew apples, lychees, sapodillo plums, carambola, pitahaya, coconuts, cashew nuts, brazil nuts, areca ""betel"" nuts, colanuts and macadamia nuts, obtained by cooking, whether or not containing added sugar or other sweetening matter (excl. with a sugar content of > 13% by weight and homogenised preparations of subheading 200710)",1051200,328,M3,403.42,EUR
EXP-58898,Turkey,Sea Pioneer,VY-2388,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-33445,Beet molasses resulting from the extraction or refining of sugar,80510,30,PCS,220.09,TRY
EXP-68539,United Kingdom,Maritime Legend,VY-2307,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-84157,"Guavas, mangoes, mangosteens, papaws ""papayas"", tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola, pitahaya, coconuts, cashew nuts, brazil nuts, areca ""betel"" nuts, cola nuts and macadamia nuts, uncooked or cooked by steaming or boiling in water, frozen, containing added sugar or other sweetening matter, with a sugar content of > 13% by weight",13021970,43,KG,320.05,GBP
EXP-24440,Canada,Ocean Explorer,VY-6565,"Main Port, Canada","Casa Port, Morocco",Morocco,PROD-91670,"Dried, shelled beans of species ""Vigna mungo [L.] Hepper or Vigna radiata [L.] Wilczek"", whether or not skinned or split",7133100,312,PCS,117.69,CAD
EXP-80924,China,Blue Horizon,VY-6529,"Main Port, China","Casa Port, Morocco",Morocco,PROD-24179,Crude palm kernel and babassu oil,151321,310,PCS,375.23,CNY
EXP-74537,Brazil,Atlantic Voyager,VY-2307,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-69970,Fresh or chilled cuts and edible offal of domestic ducks (excl. fatty livers),20744,328,LITRE,395.0,BRL
EXP-28013,Italy,Ocean Explorer,VY-6157,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-24016,"Dried, shelled kidney beans ""Phaseolus vulgaris"", for sowing",7133310,491,PCS,212.31,EUR
EXP-87061,United States,Atlantic Voyager,VY-4832,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-46755,"Pineapples, prepared or preserved, not containing added spirit or added sugar",20082090,429,TON,164.05,USD
EXP-81080,Spain,Atlantic Voyager,VY-6044,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-11536,"Insects, fit for human consumption",41010,360,M3,429.11,EUR
EXP-10070,Italy,Neptune Carrier,VY-8930,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-20641,"Strawberries, prepared or preserved, not containing added spirit or added sugar",20088090,390,LITRE,279.2,EUR
EXP-72170,Italy,Blue Horizon,VY-7305,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-23011,"Frozen ""compensated"" bovine quarters, with bone in",2022010,28,TON,426.53,EUR
EXP-55118,Canada,Voyager Titan,VY-2388,"Main Port, Canada","Casa Port, Morocco",Morocco,PROD-19905,"Smoked lesser or Greenland halibut ""Reinhardtius hippoglossoides"", incl. fillets (excl. offal)",3054910,295,M3,132.08,CAD
EXP-37654,United Kingdom,Maritime Legend,VY-6529,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-94284,"Meat of bovine animals, salted, in brine, dried or smoked, with bone in",2102010,155,M3,383.19,GBP
EXP-87358,Germany,Global Trader,VY-6052,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-10314,"Fresh or dried pistachios, in shell",20099051,286,M3,50.08,EUR
EXP-28500,Brazil,Voyager Titan,VY-4380,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-95128,"Olives, uncooked or cooked by steaming or by boiling in water, frozen",7108010,389,PCS,340.38,BRL
EXP-59894,Spain,Sea Pioneer,VY-9646,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-32506,"Live Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",30194,353,LITRE,156.64,EUR
EXP-88631,Canada,Atlantic Voyager,VY-4380,"Main Port, Canada","Casa Port, Morocco",Morocco,PROD-36767,"Fresh or chilled horse-radish ""Cochlearia armoracia""",7069030,36,TON,60.07,CAD
EXP-47990,China,Sea Pioneer,VY-9281,"Main Port, China","Casa Port, Morocco",Morocco,PROD-61690,"Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream in solid forms, unsweetened, with a fat content by weight of > 27% (excl. yogurt, flavoured or with added fruit, nuts or cocoa)",16029031,289,KG,106.56,CNY
EXP-92197,Russia,Pacific Challenger,VY-8880,"Main Port, Russia","Casa Port, Morocco",Morocco,PROD-49262,"Waffles and wafers, salted, whether or not filled (excl. of a water content, by weight, of > 10%)",19053291,335,LITRE,341.72,RUB
EXP-46005,Germany,Pacific Challenger,VY-7374,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-47657,"Frozen fillets of redfish ""Sebastes marinus""",3048921,255,M3,445.94,EUR
EXP-93661,Japan,Maritime Legend,VY-9616,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-91508,"030211
                            
Subheading


                        Fresh or chilled trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster""",304,220,M3,443.1,JPY
EXP-47729,India,Blue Horizon,VY-8930,"Main Port, India","Casa Port, Morocco",Morocco,PROD-19296,Frozen halves or quarters of domestic ducks,2074521,294,TON,287.14,INR
EXP-84121,United Kingdom,Blue Horizon,VY-6904,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-41894,Fresh or chilled globe artichokes,7099100,190,LITRE,215.04,GBP
EXP-60498,Germany,Horizon Express,VY-9958,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-46581,"Animal, vegetable or microbial fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",1516,497,TON,493.87,EUR
EXP-88708,Spain,Pacific Challenger,VY-3277,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-68647,"Fresh cut gladioli and buds, of a kind suitable for bouquets or for ornamental purposes",6012030,247,KG,407.6,EUR
EXP-58911,China,Ocean Explorer,VY-4995,"Main Port, China","Casa Port, Morocco",Morocco,PROD-86219,Prepared or preserved salmonidae (excl. salmon and whole or in pieces),12075010,245,KG,88.58,CNY
EXP-56988,India,Blue Horizon,VY-5900,"Main Port, India","Casa Port, Morocco",Morocco,PROD-70228,Dried figs,8042090,196,KG,414.3,INR
EXP-74922,Turkey,Neptune Carrier,VY-6565,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-94203,"Yams, sweet potatoes and similar edible parts of plants, containing >= 5% starch, prepared or preserved, not containing added spirit or added sugar (excl. frozen or dried)",15012010,300,M3,33.13,TRY
EXP-60070,France,Neptune Carrier,VY-6892,"Main Port, France","Casa Port, Morocco",Morocco,PROD-18717,Barley flour,11029010,205,PCS,457.9,EUR
EXP-53341,Netherlands,Maritime Legend,VY-8706,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-97578,"Inedible mixtures or preparations of animal, or of animal and vegetable or microbial fats and oils and their fractions",15180095,463,LITRE,302.78,EUR
EXP-45411,China,Neptune Carrier,VY-7557,"Main Port, China","Casa Port, Morocco",Morocco,PROD-42461,Fresh or chilled goat short forequarters,10063027,365,LITRE,260.04,CNY
EXP-78068,France,Global Trader,VY-5410,"Main Port, France","Casa Port, Morocco",Morocco,PROD-91605,"Dried birds' eggs, not in shell, whether or not sweetened (excl. egg yolks)",40891,91,LITRE,74.67,EUR
EXP-44714,India,Ocean Explorer,VY-3277,"Main Port, India","Casa Port, Morocco",Morocco,PROD-47345,"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= 2 kg (excl. in blocks, slabs or bars and cocoa powder)",180690,274,M3,466.41,INR
EXP-24317,Netherlands,Pacific Challenger,VY-3277,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-77619,"Cuttle fish and squid, smoked, dried, salted or in brine, with or without shell",30749,247,LITRE,299.47,EUR
EXP-98576,Spain,Global Trader,VY-2593,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-51118,Pineapple plants,6029020,236,PCS,49.07,EUR
EXP-51737,Germany,Sea Pioneer,VY-6904,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-10956,"Sunflower-seed or safflower oil and their fractions, whether or not refined, but not chemically modified, for technical or industrial uses (excl. crude and for manufacture of foodstuffs)",15121910,121,LITRE,358.73,EUR
EXP-74581,Russia,Maritime Legend,VY-8013,"Main Port, Russia","Casa Port, Morocco",Morocco,PROD-78679,"Fresh cheese ""unripened or uncured cheese"", incl. whey cheese and curd of a fat content, by weight, of <= 40% (excl. Mozzarella)",4061050,212,M3,430.17,RUB
EXP-89592,Canada,Horizon Express,VY-8880,"Main Port, Canada","Casa Port, Morocco",Morocco,PROD-68263,Couscous unprepared,19024010,328,TON,364.63,CAD
EXP-18800,Belgium,Blue Horizon,VY-2851,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-54015,"Mixtures of dried fruit, not containing prunes (excl. mixtures of nuts, bananas, dates, figs, pineapples, avocados, guavas, mangoes, mangosteens, papaws ""papayas"", citrus fruit, grapes, tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola and pitahaya)",2076031,41,KG,65.94,EUR
EXP-72111,Turkey,Maritime Legend,VY-7557,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-40455,"Linseed oil and fractions thereof, whether or not refined, but not chemically modified, for technical or industrial uses (excl. crude and for manufacture of foodstuffs)",4069075,102,KG,231.98,TRY
EXP-40827,Brazil,Ocean Explorer,VY-1986,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-24941,"Whey and modified whey, whether or not concentrated, containing added sugar or other sweetening matter, of a protein content ""nitrogen content x 6.38"", by weight of > 15% and of a fat content, by weight, of > 1,5% and <= 27% (excl. in powder, granules or other solid forms)",3023310,227,M3,204.01,BRL
EXP-96648,Italy,Voyager Titan,VY-7557,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-99505,"Whey and modified whey, in powder, granules or other solid forms, without added sugar or other sweetening matter, of a protein content ""nitrogen content x 6.38"" of > 15% by weight and a fat content, by weight, of > 1,5% and <= 27%",4041014,37,LITRE,270.52,EUR
EXP-97740,Germany,Pacific Challenger,VY-1054,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-52942,"Meat or offal of turkeys ""Gallus domesticus"", prepared or preserved (excl. sausages and similar products, and finely homogenised preparations put up for retail sale as infant food or for dietetic purposes, in containers of a net weight of <= 250 g, preparations of liver and meat extracts and juices)",15179091,359,M3,435.06,EUR
EXP-99408,United States,Maritime Legend,VY-5900,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-36693,"Isoglucose, containing in the dry state > 50% by weight of fructose (excl. chemically pure fructose and invert sugar)",17026010,157,PCS,124.71,USD
EXP-32715,Spain,Voyager Titan,VY-9389,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-15421,Fresh or chilled livers of domestic ducks (excl. fatty),2074491,387,PCS,469.26,EUR
EXP-50274,United Kingdom,Atlantic Voyager,VY-6157,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-35017,"Cumin seeds, crushed or ground",4012011,126,LITRE,203.81,GBP
EXP-79915,China,Global Trader,VY-4961,"Main Port, China","Casa Port, Morocco",Morocco,PROD-59681,"11062010
                            


                        Denatured flour, meal and powder of sago or of manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with a high content of starch or inulin of heading 0714",714,141,LITRE,445.7,CNY
EXP-71889,China,Neptune Carrier,VY-4322,"Main Port, China","Casa Port, Morocco",Morocco,PROD-37802,Raw beet sugar (excl. for refining and added flavouring or colouring),17011290,349,LITRE,103.17,CNY
EXP-96757,Spain,Pacific Challenger,VY-4995,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-24461,"Mucilages and thickeners of guar seeds, whether or not modified",13023290,125,KG,130.67,EUR
EXP-18873,Spain,Ocean Explorer,VY-5767,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-24773,"Frozen Cape hake ""shallow-water hake"" ""Merluccius capensis"" and deepwater hake ""deepwater Cape hake"" ""Merluccius paradoxus""",3036611,417,TON,157.28,EUR
EXP-31455,China,Neptune Carrier,VY-4995,"Main Port, China","Casa Port, Morocco",Morocco,PROD-34487,"Fruit juices, incl. grape must, and vegetable juices, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",2009,110,LITRE,117.85,CNY
EXP-37275,Italy,Pacific Challenger,VY-9823,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-36584,Rye flour,11029070,189,LITRE,58.65,EUR
EXP-74078,Spain,Neptune Carrier,VY-4494,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-58756,"Parts of lobsters ""Homarus spp."", fresh or chilled, whether in shell or not",21041000,38,LITRE,436.75,EUR
EXP-20776,Canada,Pacific Challenger,VY-7083,"Main Port, Canada","Casa Port, Morocco",Morocco,PROD-72574,"Fresh or chilled fillets of picked dogfish ""Squalus acanthias"" and catsharks ""Scyliorhinus spp.""",3044710,185,M3,145.06,CAD
EXP-13974,South Korea,Sea Pioneer,VY-1267,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-26997,"Frozen fins of porbeagle shark ""Lamna nasus""",3039230,195,KG,479.81,KRW
EXP-70818,Spain,Maritime Legend,VY-2463,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-67305,Maize seed for sowing (excl. hybrid),10051090,323,KG,265.28,EUR
EXP-75522,South Korea,Maritime Legend,VY-6793,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-52794,Round grain rice in husk,10061030,134,KG,275.55,KRW
EXP-71596,Canada,Sea Pioneer,VY-3808,"Main Port, Canada","Casa Port, Morocco",Morocco,PROD-72510,Prepared baking powders,21023000,358,M3,9.22,CAD
EXP-99162,Japan,Sea Pioneer,VY-7555,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-72330,Frozen edible offal of domestic ducks (excl. livers),2074599,280,KG,198.17,JPY
EXP-89235,India,Atlantic Voyager,VY-6904,"Main Port, India","Casa Port, Morocco",Morocco,PROD-67245,"Milk and cream, not concentrated nor containing added sugar or other sweetening matter",401,364,M3,275.11,INR
EXP-37617,South Korea,Pacific Challenger,VY-5214,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-17818,"Shrimps and prawns, prepared or preserved, in immediate packings of a net content of <= 2 kg (excl. merely smoked, and in airtight containers)",3044100,276,PCS,323.05,KRW
EXP-93037,Belgium,Blue Horizon,VY-2604,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-20247,"Fresh or chilled ling ""Molva spp.""",3025940,331,TON,94.0,EUR
EXP-21082,South Korea,Global Trader,VY-9389,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-46680,"Fresh, chilled or frozen meat and edible meat offal of domestic rabbits",2081010,47,TON,20.21,KRW
EXP-70088,France,Global Trader,VY-4110,"Main Port, France","Casa Port, Morocco",Morocco,PROD-97077,"Frozen fillets of hake ""Urophycis spp.""",3047490,394,PCS,159.11,EUR
EXP-59998,Japan,Horizon Express,VY-2851,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-50076,Wheat starch,11081100,219,LITRE,465.03,JPY
EXP-77465,United States,Horizon Express,VY-4961,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-37251,"Juice of fruit or vegetables, unfermented, Brix value <= 67 at 20°C, value of <= € 30 per 100 kg, containing <= 30% added sugar (excl. mixtures or containing spirit, and juice of citrus fruits, guavas, mangoes, mangosteens, papaws ""papayas"", tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola, pitahaya, pineapples, tomatoes, grapes incl. grape must, apples, cranberries and pears)",20098989,152,PCS,378.36,USD
EXP-14584,Germany,Maritime Legend,VY-5389,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-22832,Wheat and meslin,3035921,450,PCS,151.1,EUR
EXP-62980,Brazil,Pacific Challenger,VY-2781,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-45896,"Soya-bean oil and its fractions, whether or not refined (excl. chemically modified and crude)",150790,293,PCS,420.93,BRL
EXP-11467,India,Sea Pioneer,VY-2781,"Main Port, India","Casa Port, Morocco",Morocco,PROD-54380,"Prepared or preserved salmonidae, whole or in pieces (excl. salmon and minced)",16041910,465,KG,288.79,INR
EXP-30744,Belgium,Sea Pioneer,VY-3699,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-48719,"Dairy spreads of a fat content, by weight, of >= 60% but <= 75%",4052030,117,TON,308.55,EUR
EXP-71049,China,Atlantic Voyager,VY-4622,"Main Port, China","Casa Port, Morocco",Morocco,PROD-93547,"Frozen meat, whether or not minced, of dogfish and other sharks (excl. picked dogfish ""Squalus acanthias"", catsharks ""Scyliorhinus spp."", porbeagle shark ""Lamna nasus"" and blue shark ""Prionace glauca"")",3049690,386,TON,15.98,CNY
EXP-10995,South Korea,Voyager Titan,VY-2630,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-62778,"Fresh or chilled domestic ducks, not cut in pieces",20741,233,TON,383.23,KRW
EXP-94082,United Kingdom,Voyager Titan,VY-2307,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-65989,"Milk and cream of a fat content by weight of > 45%, in immediate packings of <= 2 l, not concentrated nor containing added sugar or other sweetening matter",4015091,481,LITRE,416.98,GBP
EXP-13848,India,Global Trader,VY-7041,"Main Port, India","Casa Port, Morocco",Morocco,PROD-55539,"Mussels, prepared or preserved (excl. smoked)",160553,258,KG,406.42,INR
EXP-64015,Japan,Maritime Legend,VY-9060,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-11961,"Mixtures of fruits, nuts and other edible parts of plants, prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit (excl. mixtures of nuts, groundnuts and other seeds and preparations of the Müsli type based on unroasted cereal flakes of subheading 19042010, and prepared or preserved with vinegar, preserved with sugar but not laid in syrup, jams, fruit jellies, marmalades, fruit purée and pastes, obtained by cooking)",200897,182,M3,188.1,JPY
EXP-15242,Canada,Neptune Carrier,VY-6565,"Main Port, Canada","Casa Port, Morocco",Morocco,PROD-29192,"Live, fresh or chilled, scallops and other molluscs of the family Pectinidae, even in shell",30721,349,KG,2.87,CAD
EXP-61937,Russia,Pacific Challenger,VY-1178,"Main Port, Russia","Casa Port, Morocco",Morocco,PROD-24405,"Arrowroot, salep, Jerusalem artichokes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets, and sago pith (excl. manioc ""cassava"", sweet potatoes, yams, taro and yautia)",71490,463,TON,118.8,RUB
EXP-60183,Belgium,Neptune Carrier,VY-4832,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-11333,"Cinnamon ""Cinnamomum zeylanicum Blume"" (excl. crushed and ground)",9061100,4,PCS,47.15,EUR
EXP-63736,France,Ocean Explorer,VY-4622,"Main Port, France","Casa Port, Morocco",Morocco,PROD-15368,"Leeks and other alliaceous vegetables, fresh or chilled (excl. onions, shallots and garlic)",4032053,273,M3,376.33,EUR
EXP-31544,India,Global Trader,VY-5067,"Main Port, India","Casa Port, Morocco",Morocco,PROD-99903,Frozen edible offal of sheep and goats (excl. for manufacture of pharmaceutical products),15171090,56,PCS,267.56,INR
EXP-41205,United Kingdom,Blue Horizon,VY-5067,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-68877,"Live Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",30194,385,TON,47.14,GBP
EXP-45906,Spain,Atlantic Voyager,VY-9823,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-24508,"Microbial fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined (excl. in immediate packings of <= 1 kg)",15163098,137,PCS,366.44,EUR
EXP-12552,United States,Maritime Legend,VY-2463,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-62187,"Frozen fillets of plaice ""Pleuronectes platessa""",3048310,434,TON,10.25,USD
EXP-88798,India,Pacific Challenger,VY-1054,"Main Port, India","Casa Port, Morocco",Morocco,PROD-53504,Prepared or preserved salmon (excl. whole or in pieces),16042010,185,M3,408.06,INR
EXP-25672,South Korea,Ocean Explorer,VY-3699,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-66243,Coffee husks and skins,9019010,471,KG,196.32,KRW
